inventory_id,store_id,product_id,stock_quantity,reorder_level,last_restock_date,inventory_status
3483,49,996,191,71,2026-02-28,In Stock
9388,54,540,82,48,2025-11-27,In Stock
4270,98,597,158,49,2025-04-05,In Stock
9271,22,875,64,97,2026-07-31,Low Stock
18789,95,258,222,46,2024-02-24,In Stock
9659,5,763,172,61,2024-01-01,In Stock
17317,28,99,343,72,2024-01-13,In Stock
11956,43,816,232,39,2024-12-02,In Stock
14648,98,451,180,44,2026-06-17,In Stock
3475,9,928,268,17,2024-09-23,In Stock
14913,85,313,61,49,2025-11-18,In Stock
12305,32,187,427,83,2025-02-18,In Stock
10793,19,373,239,73,2024-07-14,In Stock
7536,30,603,421,20,2025-04-17,In Stock
4194,100,126,0,66,2025-11-16,Out of Stock
16601,54,441,134,34,2024-01-15,In Stock
10884,15,277,223,23,2024-10-08,In Stock
15365,57,311,358,33,2024-05-11,In Stock
9085,77,608,397,27,2024-10-24,In Stock
6092,26,779,410,12,2026-02-15,In Stock
7629,59,58,239,32,2026-08-03,In Stock
18383,30,162,320,43,2026-05-17,In Stock
6391,38,260,369,37,2024-02-10,In Stock
14904,7,861,15,88,2026-05-20,Low Stock
17737,10,449,7,45,2025-05-31,Low Stock
9061,97,823,262,51,2025-12-18,In Stock
6416,6,99,102,60,2025-12-08,In Stock
12023,5,743,450,30,2024-10-26,In Stock
15085,78,287,228,89,2025-08-21,In Stock
2639,8,882,343,73,2024-09-27,In Stock
7418,68,348,203,96,2024-12-06,In Stock
9515,39,49,435,49,2025-06-09,In Stock
6115,32,880,96,69,2024-05-30,In Stock
7592,34,813,391,88,2025-11-03,In Stock
8230,62,443,272,48,2025-10-12,In Stock
9120,42,732,257,14,2027-06-23,In Stock
19249,92,925,384,46,2025-08-25,In Stock
11789,52,156,388,100,2024-07-11,In Stock
15273,100,865,225,64,2025-12-01,In Stock
4075,64,667,417,31,2024-09-18,In Stock
12965,27,764,458,80,2026-07-03,In Stock
5195,63,409,471,43,2026-04-20,In Stock
16297,83,105,367,13,,In Stock
8249,29,397,445,25,2024-09-03,In Stock
5850,34,72,454,35,2026-03-12,In Stock
5226,60,322,31,93,2024-04-13,Low Stock
12224,1578,699,440,90,2024-01-03,In Stock
3887,27,294,113,90,2024-08-01,In Stock
4521,94,384,168,31,2024-05-17,In Stock
7179,95,963,231,88,2026-04-03,In Stock
9865,35,211,420,38,2025-04-07,In Stock
19292,39,987,43,39,2025-03-30,In Stock
8288,60,1,137,89,2024-08-23,In Stock
19790,23,923,-10,62,2024-08-17,Out of Stock
11582,3,186,175,67,2025-07-04,In Stock
16296,2,455,181,91,2024-05-20,In Stock
5043,29,603,464,61,2024-02-04,In Stock
3942,88,333,390,57,2024-02-24,In Stock
19345,3,671,489,56,2024-12-08,In Stock
3166,44,743,206,39,2024-10-10,In Stock
5145,12,74,393,89,2024-11-29,In Stock
11492,51,653,490,94,2026-02-01,In Stock
5964,71,418,194,39,2024-04-13,In Stock
8590,82,122,477,78,2025-02-21,In Stock
2268,75,339,241,46,2025-08-18,In Stock
13048,6,101,436,28,2026-07-19,In Stock
17066,4,205,126,63,2026-07-06,In Stock
6053,81,596,317,46,2026-05-13,In Stock
6979,42,340,382,34,2026-01-21,In Stock
3687,60,367,452,31,2025-09-13,In Stock
15499,73,269,252,20,2024-09-27,In Stock
13769,81,726,14,52,2024-12-30,Low Stock
10073,16,791,102,72,2024-11-23,In Stock
19968,80,771,167,56,2025-12-23,In Stock
5826,70,931,284,74,2024-03-02,In Stock
3705,14,447,26,79,2024-03-02,Low Stock
18296,74,602,186,93,2024-01-05,In Stock
17394,37,903,115,15,,In Stock
7102,87,888,335,34,,In Stock
19914,17,42,317,22,2024-04-14,In Stock
14725,37,80,149,49,2024-05-22,In Stock
3520,32,383,7,94,2024-04-27,Low Stock
15537,37,730,477,75,2025-09-07,In Stock
15791,20,975,126,71,2026-06-17,In Stock
5395,16,17,488,51,2026-11-07,In Stock
8584,61,853,331,27,2025-01-21,In Stock
10116,86,442,414,60,2024-08-08,In Stock
10388,21,608,190,79,2026-05-22,In Stock
15189,29,731,147,27,2024-12-31,In Stock
12688,43,532,205,29,2024-02-11,In Stock
7790,84,201,482,0,2024-02-18,In Stock
3972,78,67,26,37,2024-07-01,Low Stock
8207,89,51,15,68,2025-09-14,Low Stock
9424,15,134,162,100,2025-07-02,In Stock
13195,52,260,188,16,2026-03-08,In Stock
17284,52,332,450,46,2025-12-14,In Stock
14882,12,127,313,22,2024-07-04,In Stock
2459,88,613,156,15,2024-07-31,In Stock
19294,91,825,435,82,2025-03-02,In Stock
8077,65,874,458,87,2025-02-17,In Stock
8493,98,18395,213,61,2024-01-21,In Stock
9013,71,569,82,44,2024-09-22,In Stock
18507,86,445,130,76,2024-01-04,In Stock
14624,1463,13,182,96,2026-06-20,In Stock
16272,7,436,468,35,2026-07-19,In Stock
9401,32,94,338,93,2024-11-13,In Stock
13370,15,585,415,64,2025-10-10,In Stock
19623,96,815,393,98,2025-12-06,In Stock
2513,57,460,152,32,2026-07-27,In Stock
5048,96,815,479,25,2024-02-18,In Stock
15817,1466,966,225,-20,2026-03-13,In Stock
5166,15,550,-1,24,2026-07-15,Out of Stock
10501,32,549,188,99,2025-08-04,In Stock
12839,85,683,273,59,2024-11-28,In Stock
8159,16,593,303,45,2026-01-31,In Stock
17051,93,212,236,62,2024-07-21,In Stock
16086,25,82,60,44,2026-05-23,In Stock
2468,12,64,175,46,2026-06-14,In Stock
6062,86,867,432,54,2024-06-29,In Stock
1148,45,167,427,41,2024-03-27,In Stock
4326,11,120,16,22,2024-06-21,Low Stock
5631,5,561,238,90,2024-04-03,In Stock
10194,7,975,38,86,2024-08-18,Low Stock
18703,70,592,499,36,2026-06-16,In Stock
19827,56,420,32,40,2025-08-11,Low Stock
2715,92,17413,40,60,2025-05-02,Low Stock
5000,6,773,455,34,2024-06-08,In Stock
19956,38,437,90,50,2026-05-12,In Stock
4983,5,279,239,52,2024-07-08,In Stock
2725,78,875,204,22,2024-06-10,In Stock
7153,98,91,398,48,2025-02-09,In Stock
19269,8,370,471,97,2026-04-13,In Stock
5208,93,835,236,0,2024-03-27,In Stock
16832,17,84,363,36,2024-03-02,In Stock
6259,89,375,204,94,2025-06-08,In Stock
8118,10,343,192,91,2025-06-11,In Stock
5372,78,7,271,30,2026-07-28,In Stock
18641,17,990,207,18,2025-08-29,In Stock
2560,66,676,449,56,2026-07-18,In Stock
10205,89,560,375,70,2026-07-03,In Stock
7349,13,118,384,38,2024-05-20,In Stock
4848,35,296,471,-20,2025-12-07,In Stock
18706,13,715,147,90,2026-06-28,In Stock
10791,33,803,128,91,2026-02-19,In Stock
7662,92,438,328,80,2024-03-18,In Stock
10670,27,199,455,22,2026-01-16,In Stock
2389,25,704,114,69,2026-06-05,In Stock
504,52,224,163,57,2025-06-12,In Stock
3801,82,256,457,43,2026-08-06,In Stock
2190,53,202,16,71,2026-04-17,Low Stock
2982,32,918,363,46,2026-02-17,In Stock
12286,28,672,317,57,2024-08-27,In Stock
4150,18,532,262,0,,In Stock
12558,10,794,400,86,2026-06-22,In Stock
12105,66,562,-50,73,2024-03-25,Out of Stock
3636,37,905,265,58,,In Stock
12530,53,210,312,70,2025-04-23,In Stock
3711,86,608,449,37,2026-07-15,In Stock
12420,47,930,328,74,2025-05-18,In Stock
18952,30,676,12,96,2026-03-20,Low Stock
11551,66,254,-100,39,2024-08-01,Out of Stock
12217,43,366,372,17,2024-12-12,In Stock
15974,31,501,108,11,2024-11-20,In Stock
4473,72,667,360,20,2025-12-19,In Stock
12051,75,574,429,69,2024-11-23,In Stock
12106,78,602,319,16,2024-10-21,In Stock
11733,15,252,396,29,2025-08-04,In Stock
17033,11,159,471,54,2024-08-20,In Stock
10514,36,275,222,44,2025-10-04,In Stock
439,55,493,334,14,2026-04-11,In Stock
9533,63,448,104,36,2025-07-08,In Stock
5720,76,436,192,17,2024-09-03,In Stock
4227,89,372,412,32,2024-12-12,In Stock
15017,93,486,352,32,2026-07-24,In Stock
16279,44,19167,258,60,2024-04-11,In Stock
17625,97,138,354,14,2024-03-25,In Stock
5378,64,48,385,19,2025-10-31,In Stock
17440,37,954,429,57,2026-02-15,In Stock
7661,25,454,260,66,2025-09-17,In Stock
19258,92,917,305,20,2024-08-01,In Stock
16812,34,734,344,79,2025-06-28,In Stock
8214,80,307,337,29,2024-09-17,In Stock
5749,93,967,-1,34,2025-02-12,Out of Stock
10282,98,373,148,63,2026-01-20,In Stock
11579,83,535,349,65,2024-01-23,In Stock
10422,49,939,183,12,2026-02-08,In Stock
5761,78,230,435,83,2026-08-01,In Stock
1902,13,747,418,32,2024-01-09,In Stock
5358,79,406,464,67,2024-02-15,In Stock
12308,63,742,59,93,2024-09-21,Low Stock
1490,91,667,470,97,2025-06-12,In Stock
11720,36,396,160,59,2026-03-23,In Stock
13151,78,246,54,88,2025-09-10,Low Stock
9359,24,781,375,86,2026-03-27,In Stock
10353,33,863,369,25,2025-09-10,In Stock
14165,40,682,243,68,2025-01-23,In Stock
9611,31,777,87,27,2026-04-04,In Stock
15144,92,319,7,76,2024-04-03,Low Stock
5346,28,70,104,98,2024-12-06,In Stock
4266,99,329,320,78,2026-03-08,In Stock
5187,9,944,406,22,2025-10-07,In Stock
19617,66,127,29,49,2025-12-05,Low Stock
15270,97,294,145,67,2024-06-20,In Stock
10615,79,931,401,56,2026-01-12,In Stock
7709,40,2,364,28,2026-05-20,In Stock
17141,87,764,79,56,2026-05-12,In Stock
2580,65,209,132,39,2026-04-01,In Stock
5558,21,860,214,96,2026-01-05,In Stock
3726,15,299,290,83,2026-02-07,In Stock
19597,24,66,189,50,2025-08-22,In Stock
1035,39,844,229,90,2025-04-15,In Stock
981,22,693,411,48,2025-07-22,In Stock
14087,1,8,472,67,2026-06-22,In Stock
8518,59,193,335,87,2024-12-04,In Stock
1816,59,31,325,93,2024-02-10,In Stock
13554,69,270,190,99,2025-11-07,In Stock
10560,97,361,153,52,2025-10-14,In Stock
17191,11,577,59,90,2025-04-11,Low Stock
6221,79,145,282,38,2025-04-07,In Stock
6836,75,268,259,72,2024-02-08,In Stock
13823,46,829,61,49,2026-07-12,In Stock
10916,61,213,214,47,2026-08-04,In Stock
18994,61,95,426,0,2024-10-30,In Stock
5307,31,349,499,89,2024-02-26,In Stock
10954,87,728,72,13,2024-04-11,In Stock
7898,11,120,81,66,2024-08-18,In Stock
5703,66,550,129,85,2026-03-03,In Stock
12556,2,357,475,41,2024-04-21,In Stock
13445,95,2,27,64,2024-04-10,Low Stock
18043,26,390,464,30,,In Stock
209,76,80,246,58,2025-07-15,In Stock
4200,1755,276,445,74,2024-03-15,In Stock
17103,83,678,189,48,2026-03-28,In Stock
937,59,928,0,49,2024-12-01,Out of Stock
6389,24,588,1,100,2026-02-18,Low Stock
6837,32,712,234,12,2026-08-08,In Stock
120,54,463,27,99,2026-01-13,Low Stock
17811,13,103,420,50,2026-08-01,In Stock
9991,47,186,148,31,2025-03-02,In Stock
7607,30,867,-10,50,2024-03-04,Out of Stock
7291,23,674,279,70,2026-06-17,In Stock
18330,59,318,145,44,2025-05-07,In Stock
7748,13,86,399,18,2024-06-09,In Stock
12823,97,948,432,78,2025-05-28,In Stock
19002,37,622,173,85,2024-06-13,In Stock
5519,84,57,87,45,2025-12-18,In Stock
16181,12,716,256,35,2025-03-25,In Stock
8360,35,941,69,51,2025-11-24,In Stock
11730,63,476,83,23,2024-11-01,In Stock
14071,35,203,207,85,2024-01-18,In Stock
14554,63,477,25,96,2025-10-02,Low Stock
4817,58,962,295,11,2026-06-26,In Stock
4744,21,925,61,97,2026-03-22,Low Stock
7795,90,488,88,18,2026-01-14,In Stock
2142,4,162,424,58,2026-05-08,In Stock
2394,6,690,83,52,2025-01-28,In Stock
3459,29,947,408,11,2026-03-16,In Stock
18700,26,643,247,34,2024-02-16,In Stock
14676,48,710,423,73,2025-12-15,In Stock
16950,42,116,211,-5,2026-05-01,In Stock
16061,93,653,232,27,2024-06-06,In Stock
19468,14,519,339,77,2024-04-10,In Stock
10651,90,645,78,83,2025-07-04,Low Stock
12219,16,194,34,71,2024-09-26,Low Stock
19908,78,305,37,78,2026-01-09,Low Stock
4915,52,359,138,83,2024-07-23,In Stock
8414,61,229,470,86,2024-01-04,In Stock
10925,75,250,446,74,2024-06-10,In Stock
8050,99,123,497,92,2026-08-12,In Stock
14242,64,601,160,94,2025-11-15,In Stock
18106,53,798,372,20,2024-03-16,In Stock
13357,83,282,179,13,2026-04-06,In Stock
9729,27,607,250,77,2025-01-05,In Stock
19890,84,37,337,67,2025-08-25,In Stock
3617,82,933,116,51,2026-05-11,In Stock
10347,68,277,15,48,2024-09-07,Low Stock
17655,82,330,396,20,,In Stock
6530,78,104,352,74,2026-08-10,In Stock
18535,62,11946,51,67,2025-02-08,Low Stock
9836,52,962,208,17,2026-02-18,In Stock
12567,64,66,130,23,,In Stock
19095,22,240,496,56,2024-12-07,In Stock
6294,83,518,272,94,2025-10-12,In Stock
11472,80,590,356,35,2024-10-10,In Stock
13703,13,382,294,28,2026-03-04,In Stock
7667,86,223,338,51,2024-11-22,In Stock
7331,41,54,428,69,2024-03-22,In Stock
7902,65,788,150,22,2026-04-13,In Stock
8100,79,291,221,62,2024-12-28,In Stock
8586,80,122,34,93,2026-11-13,Low Stock
7145,10,394,495,49,2026-04-23,In Stock
35,3,309,251,91,2024-04-07,In Stock
7899,43,363,146,57,2026-07-17,In Stock
7201,43,930,44,57,2026-06-22,Low Stock
9925,93,293,90,97,2024-09-10,Low Stock
13371,76,409,418,56,2025-10-15,In Stock
1428,93,178,100,95,2026-04-13,In Stock
9676,27,845,461,43,2026-01-05,In Stock
11048,19,191,463,35,2026-08-12,In Stock
5287,40,228,90,18,2025-08-07,In Stock
5447,87,615,401,38,2024-12-05,In Stock
409,53,477,205,23,2025-07-12,In Stock
16067,9,785,103,68,2026-03-19,In Stock
10147,57,924,440,53,2024-11-21,In Stock
19519,92,619,193,54,2026-03-17,In Stock
6754,11,763,361,71,2026-06-21,In Stock
8132,59,799,164,20,2024-10-21,In Stock
6187,9,324,-100,81,2024-03-25,Out of Stock
10181,44,62,418,93,2024-05-06,In Stock
11681,55,502,138,66,2025-04-17,In Stock
352,83,497,38,10,2026-07-29,In Stock
13514,5,42,145,41,2024-10-10,In Stock
10366,51,915,401,88,2025-09-20,In Stock
3303,49,91,306,59,2025-09-22,In Stock
18597,16,675,381,44,2025-05-16,In Stock
5136,77,366,425,55,2025-10-24,In Stock
219,41,904,498,57,2026-03-01,In Stock
7229,97,593,278,44,2025-05-02,In Stock
2352,52,207,53,23,2024-12-02,In Stock
4016,34,235,385,23,2024-10-11,In Stock
10138,70,340,51,10,2025-02-16,In Stock
15268,58,148,212,14,2026-06-08,In Stock
19405,16,14558,2,94,2026-07-12,Low Stock
13455,79,842,497,18,2026-06-20,In Stock
4195,69,245,245,32,2025-02-28,In Stock
2782,100,595,356,80,2024-05-10,In Stock
11969,47,384,465,98,2024-03-08,In Stock
19611,81,723,165,75,2026-09-05,In Stock
6000,45,406,48,66,2026-01-29,Low Stock
1995,84,983,51,69,2025-09-01,Low Stock
5251,19,449,480,21,2024-04-13,In Stock
16687,14,136,451,75,2026-05-15,In Stock
19012,73,517,298,100,2026-05-10,In Stock
929,5,476,240,56,2026-05-23,In Stock
1511,23,475,170,58,2024-07-25,In Stock
11277,32,356,290,34,2024-06-06,In Stock
3389,47,361,284,55,2024-05-29,In Stock
8254,20,995,193,64,2024-12-03,In Stock
475,74,948,125,51,2024-07-08,In Stock
3572,83,708,230,53,2024-07-25,In Stock
14021,12,940,412,75,2024-09-01,In Stock
2790,50,918,433,44,2024-01-16,In Stock
11451,17,257,156,50,2025-04-19,In Stock
9239,29,33,412,15,2025-09-15,In Stock
14980,1,311,464,16,2024-05-19,In Stock
12148,22,315,444,82,2024-10-16,In Stock
607,54,741,305,94,2025-10-13,In Stock
18237,72,598,449,52,2025-04-14,In Stock
9407,37,164,415,77,2024-03-15,In Stock
9043,89,43,357,11,2026-05-09,In Stock
18077,13,550,300,91,2026-05-27,In Stock
14489,24,858,414,68,2024-09-10,In Stock
3063,92,326,497,96,2024-04-28,In Stock
1289,50,756,124,74,2024-05-25,In Stock
16997,7,357,429,45,2025-08-15,In Stock
7133,42,182,382,72,2026-03-20,In Stock
12086,13,612,411,57,2025-05-23,In Stock
14884,62,568,221,94,2024-02-03,In Stock
5859,72,211,69,48,2024-03-05,In Stock
18684,78,519,358,26,2025-08-12,In Stock
6179,32,553,136,80,2024-08-26,In Stock
15964,23,186,156,82,2026-01-04,In Stock
6905,42,242,0,16,2024-04-17,Out of Stock
1476,5,156,116,62,2025-11-03,In Stock
13663,75,438,479,91,2026-03-10,In Stock
12345,14,413,134,11,2024-05-04,In Stock
15456,90,922,162,41,2024-04-10,In Stock
10889,71,151,253,88,2025-01-05,In Stock
11679,35,319,152,88,2026-06-01,In Stock
9648,98,33,192,10,2024-05-30,In Stock
13252,95,837,96,14,2026-01-22,In Stock
17283,36,563,353,55,2024-03-07,In Stock
18294,40,928,314,23,2024-12-07,In Stock
12673,18,747,313,45,2025-11-20,In Stock
1806,42,55,63,11,2025-06-26,In Stock
7949,69,678,30,22,2024-12-23,In Stock
13896,94,815,135,62,2025-05-09,In Stock
2636,99,513,363,70,2027-03-07,In Stock
3942,88,333,390,57,2024-02-24,In Stock
8157,3,47,385,66,2024-02-10,In Stock
8575,52,623,472,92,2025-10-10,In Stock
4986,88,953,318,28,2024-11-17,In Stock
15993,63,32,-1,47,2025-05-15,Out of Stock
14000,96,569,99,89,2025-09-28,In Stock
3143,63,69,288,43,2025-02-19,In Stock
6742,29,236,374,19,2025-06-14,In Stock
18646,99,894,207,26,2025-05-21,In Stock
16415,53,974,488,24,2025-01-04,In Stock
18264,18,467,479,16,2024-09-07,In Stock
16047,2,60,127,28,2026-03-09,In Stock
1329,82,652,80,69,2024-05-13,In Stock
