order_id,customer_id,product_id,store_id,order_date,quantity,unit_price,discount,payment_method,order_status
92874,7603,93,58,2025-09-05,4,29437.77,18.73,Net Banking,Pending
52015,8459,481,5,2024-06-16,2,37331.54,17.49,UPI,Completed
45860,595,114,56,2025-02-27,9,5143.08,3.06,Net Banking,Returned
24080,3598,517,17,2024-03-18,6,17538.04,12.3,Debit Card,Completed
41229,5279,942,34,2026-01-04,4,5658.34,27.52,Credit Card,Cancelled
29862,3894,942,87,2025-11-30,8,24647.68,29.63,Credit Card,Completed
68598,4387,303,84,2026-03-10,3,26800.26,23.9,Cash,Returned
50310,727,148,52,2025-08-14,5,38013.87,9.28,Cash,Returned
50283,3270,582,76,2024-09-25,10,37515.74,20.89,Credit Card,Cancelled
27262,7386,4,38,2025-09-15,10,49003.25,24.66,Credit Card,Completed
42500,5939,114,27,2025-02-28,6,37875.77,1.3,Net Banking,Completed
75470,6949,792,95,2025-11-17,2,43551.67,13.19,Net Banking,Completed
46178,1283,664,94,2024-12-04,8,36585.38,25.85,Debit Card,Cancelled
82459,3622,643,3,2024-08-20,7,44097.58,21.55,UPI,Pending
69588,9690,489,20,2026-04-26,10,39566.25,15.48,Cash,Returned
38396,6797,372,9,2025-05-23,2,20685.24,4.85,Net Banking,Completed
89086,9693,757,22,2025-09-19,5,31460.17,12.83,Debit Card,Returned
87373,8941,76,26,2025-02-15,3,43790.36,10.72,UPI,Cancelled
98671,6616,999,8,2025-01-23,8,33520.59,16.37,Cash,Completed
884,4136,19383,6,2024-11-16,9,15757.15,20.54,Credit Card,Returned
68617,6388,43,44,2025-09-13,3,46864.02,7.47,UPI,Completed
83070,7624,582,13,2024-11-26,8,47667.16,25.83,Debit Card,Completed
16096,5649,959,49,2026-05-27,8,10427.79,27.22,UPI,Completed
24458,5774,383,39,2025-03-10,6,26615.07,8.35,Debit Card,Completed
31841,3797,255,57,2025-11-18,8,2350.87,7.33,Credit Card,Pending
4233,767,49,19,2026-05-12,5,49068.76,7.59,UPI,Completed
63470,9136,353,36,2024-08-05,7,35502.56,0.48,UPI,Pending
39590,4713,868,80,2025-07-05,3,47669.3,23.81,Credit Card,Completed
81281,7994,848,99,2025-10-27,2,6204.17,25.04,Debit Card,Returned
33067,4123,256,80,2024-07-14,1,25524.71,7.81,UPI,Pending
92622,8289,293,27,2024-01-17,10,12728.65,19.86,Cash,Cancelled
45122,1919,836,54,2025-11-20,5,37136.63,3.91,Debit Card,Completed
49424,3354,191,29,2025-09-28,5,25189.9,11.71,UPI,Returned
70000,8697,280,82,2026-03-25,4,13902.96,27.83,Cash,Completed
85553,1098,532,4,2026-04-05,3,25865.08,20.74,Credit Card,Returned
44959,3046,630,42,2025-10-26,7,26497.11,18.54,UPI,Completed
74842,3419,772,91,2025-02-17,10,7928.07,23.43,Debit Card,Completed
83235,7794,535,67,2025-07-29,6,33056.88,4.68,Cash,Returned
24992,9480,3,61,2026-05-02,6,13791.18,4.94,UPI,Completed
72972,8596,484,85,2025-05-09,5,15465.79,10.98,Debit Card,Cancelled
88137,1925,837,11,2025-08-18,9,12478.31,23.19,Cash,Completed
36805,1845,778,32,2025-11-21,9,21197.19,13.6,Cash,Cancelled
71221,7212,439,49,2026-05-19,8,39329.55,20.57,Credit Card,Pending
13696,3371,386,98,2024-08-21,5,30479.31,7.26,Credit Card,Completed
78123,9922,312,36,2026-02-06,9,38391.02,15.4,Credit Card,Pending
91889,1776,31,47,2024-02-18,3,27373.56,11.0,Cash,Returned
35539,2137,969,79,2024-11-03,7,13556.56,17.04,UPI,Cancelled
88402,8932,865,86,2024-11-21,8,12893.69,1.78,Credit Card,Completed
49759,4252,41,80,2026-05-10,3,17488.24,29.5,Net Banking,Pending
75805,6846,567,8,2025-08-03,3,26480.24,25.86,Cash,Completed
15316,3139,424,25,2026-03-19,9,22479.77,18.27,Credit Card,Completed
12144,559,992,85,2026-02-15,6,12811.78,2.92,Debit Card,Returned
26696,1466,804,4,2024-10-16,4,12486.04,28.76,Credit Card,Completed
77560,429,279,66,2026-03-27,9,35274.67,5.31,Credit Card,Pending
41881,769,828,86,2024-11-22,3,13664.5,22.99,Net Banking,Completed
47066,4799,495,18,2026-03-05,3,16716.86,13.52,Cash,Completed
77725,5439,446,31,2024-08-25,1,37191.82,15.75,UPI,Cancelled
32109,7615,378,38,2024-05-03,1,31827.88,5.55,Credit Card,Returned
227,7753,699,22,2025-08-20,8,42747.61,23.95,UPI,Completed
93169,3362,878,74,2024-10-28,9,7741.03,11.25,UPI,Completed
4511,7935,324,66,2025-08-02,10,24997.2,18.27,Cash,Returned
68698,1690,803,18,2025-02-25,10,28684.08,23.63,Debit Card,Completed
59973,2816,390,5,2025-04-09,6,5473.22,25.7,Debit Card,Cancelled
74635,2968,717,51,2025-07-03,9,17791.78,12.44,UPI,Returned
97567,3069,744,20,2024-04-02,-5,35607.75,14.81,Net Banking,Completed
28057,8722,706,67,2026-06-15,7,46424.93,27.63,Debit Card,Completed
38937,5451,624,38,2024-08-14,6,33023.21,19.67,UPI,Completed
98692,191302,707,91,2025-03-03,8,28510.83,4.19,Cash,Completed
58988,8114,377,86,2024-08-08,10,48157.58,16.13,Net Banking,Completed
54053,305,858,7,2025-09-23,3,16784.67,14.1,UPI,Returned
82877,627,854,66,2025-06-27,10,13395.1,14.09,Net Banking,Completed
52656,1100,613,81,2026-07-17,8,37031.91,14.78,UPI,Completed
96161,8312,796,83,2025-05-22,6,38387.33,19.1,UPI,Returned
58475,1806,481,43,2025-09-29,10,27546.86,7.65,Credit Card,Completed
88438,752,407,6,2024-09-16,10,21644.93,8.57,Cash,Returned
41277,1585,130,70,2025-03-20,5,14668.4,23.85,Debit Card,Returned
56872,9486,26,23,2024-08-14,3,23877.4,29.21,Net Banking,Completed
40919,8921,936,25,2025-03-18,1,1538.43,27.48,Net Banking,Pending
56591,6045,374,30,2026-07-02,3,30512.41,18.67,Debit Card,Pending
52459,7405,629,61,2024-10-27,2,42819.93,27.75,Net Banking,Completed
93305,3380,62,18,2024-10-28,1,8165.8,6.82,Cash,Completed
82357,9591,725,1067,2025-06-25,2,19470.42,14.57,Cash,Pending
6427,9709,390,78,2024-02-20,3,35201.54,0.58,Cash,Completed
2515,4618,308,64,2025-05-04,6,12945.5,12.5,Net Banking,Cancelled
24964,7818,51,67,2025-01-28,1,602.9,14.24,Credit Card,Completed
